date,session_key,pressure,track_temperature,rainfall,wind_speed,meeting_key,wind_direction,humidity,air_temperature
2023-09-16T13:41:18.641000+00:00,9161,1009.9,34,0,1.7,1219,178,77,29.4
2023-09-16T13:42:18.640000+00:00,9161,1009.7,34.1,0,1.3,1219,193,77,29.4
2023-09-16T13:43:18.639000+00:00,9161,1009.9,34.1,0,1.7,1219,183,77,29.4
2023-09-16T13:44:18.669000+00:00,9161,1009.9,34.1,0,1.7,1219,196,78,29.4
2023-09-16T13:45:18.684000+00:00,9161,1009.9,33.8,0,2,1219,190,78,29.4
2023-09-16T13:46:18.698000+00:00,9161,1009.9,33.8,0,1.8,1219,198,78,29.4
2023-09-16T13:47:18.728000+00:00,9161,1010,34,0,2,1219,181,78,29.4
2023-09-16T13:48:18.727000+00:00,9161,1009.9,34,0,1.6,1219,198,78,29.4
2023-09-16T13:49:18.742000+00:00,9161,1010,34,0,1.3,1219,187,78,29.4
2023-09-16T13:50:18.756000+00:00,9161,1010,34,0,1.8,1219,193,78,29.4
2023-09-16T13:51:18.771000+00:00,9161,1010,34.2,0,1.8,1219,178,79,29.4
2023-09-16T13:52:18.770000+00:00,9161,1010,34.2,0,1.7,1219,188,78,29.3
2023-09-16T13:53:18.769000+00:00,9161,1010,34.2,0,1.5,1219,174,78,29.3
2023-09-16T13:54:18.783000+00:00,9161,1009.9,34.1,0,1.7,1219,186,78,29.3
2023-09-16T13:55:18.782000+00:00,9161,1010,34.1,0,2,1219,169,78,29.4
2023-09-16T13:56:18.781000+00:00,9161,1010,33.8,0,1.3,1219,192,78,29.4
2023-09-16T13:57:18.780000+00:00,9161,1010,33.8,0,2,1219,174,78,29.4
2023-09-16T13:58:18.779000+00:00,9161,1010,33.8,0,1.3,1219,201,78,29.4
2023-09-16T13:59:18.778000+00:00,9161,1009.9,33.9,0,1.7,1219,187,79,29.4
2023-09-16T14:00:18.777000+00:00,9161,1010,33.9,0,1.7,1219,178,79,29.5
2023-09-16T14:01:18.776000+00:00,9161,1010,34.1,0,1.7,1219,187,79,29.5
2023-09-16T14:02:18.775000+00:00,9161,1010,34.2,0,1.7,1219,182,79,29.5
2023-09-16T14:03:18.774000+00:00,9161,1010,34.2,0,1.8,1219,175,79,29.5
2023-09-16T14:04:18.773000+00:00,9161,1010,34.1,0,1.5,1219,183,78,29.5
2023-09-16T14:05:18.772000+00:00,9161,1010,34,0,1.8,1219,177,78,29.5
2023-09-16T14:06:18.786000+00:00,9161,1010,33.8,0,1.5,1219,190,78,29.4
2023-09-16T14:07:18.785000+00:00,9161,1010,34,0,2,1219,196,78,29.4
2023-09-16T14:08:18.784000+00:00,9161,1010,34,0,1.7,1219,190,78,29.4
2023-09-16T14:09:18.783000+00:00,9161,1010,33.8,0,1.8,1219,166,79,29.4
2023-09-16T14:10:18.782000+00:00,9161,1010,33.8,0,1.7,1219,189,78,29.5
2023-09-16T14:11:18.781000+00:00,9161,1010,34,0,2,1219,166,79,29.4
2023-09-16T14:12:18.780000+00:00,9161,1010,34,0,1.7,1219,163,78,29.5
2023-09-16T14:13:18.779000+00:00,9161,1010,33.9,0,1.7,1219,190,79,29.4
2023-09-16T14:14:18.778000+00:00,9161,1010,33.9,0,2,1219,181,78,29.4
2023-09-16T14:15:18.792000+00:00,9161,1010,33.8,0,1.7,1219,185,79,29.4
2023-09-16T14:16:18.791000+00:00,9161,1010,33.8,0,1.6,1219,153,78,29.4
2023-09-16T14:17:18.790000+00:00,9161,1010,33.6,0,1.6,1219,155,78,29.3
2023-09-16T14:18:18.789000+00:00,9161,1010.2,33.5,0,1.5,1219,177,78,29.3
2023-09-16T14:19:18.788000+00:00,9161,1009.9,33.6,0,1.7,1219,173,78,29.3
2023-09-16T14:20:18.787000+00:00,9161,1010,33.6,0,1.2,1219,160,78,29.3
2023-09-16T14:21:18.786000+00:00,9161,1010,33.6,0,2,1219,192,78,29.3
2023-09-16T14:22:18.785000+00:00,9161,1010,33.7,0,1.5,1219,179,78,29.3
2023-09-16T14:23:18.784000+00:00,9161,1010,33.8,0,1.7,1219,188,78,29.3
2023-09-16T14:24:18.798000+00:00,9161,1010,33.7,0,1.2,1219,191,78,29.4
2023-09-16T14:25:18.797000+00:00,9161,1010,34,0,1.5,1219,197,77,29.4
2023-09-16T14:26:18.796000+00:00,9161,1010,34,0,1.2,1219,164,78,29.4
2023-09-16T14:27:18.795000+00:00,9161,1010,33.8,0,1.7,1219,155,78,29.4
2023-09-16T14:28:18.794000+00:00,9161,1010,33.6,0,1.1,1219,181,77,29.4
2023-09-16T14:29:18.793000+00:00,9161,1010,33.6,0,1.7,1219,163,77,29.4
2023-09-16T14:30:18.792000+00:00,9161,1010,33.4,0,1.7,1219,183,77,29.4
2023-09-16T14:31:18.791000+00:00,9161,1010,33.6,0,2,1219,180,78,29.4
2023-09-16T14:32:18.790000+00:00,9161,1010,33.7,0,1.7,1219,209,78,29.4
2023-09-16T14:33:18.789000+00:00,9161,1010,33.7,0,1.6,1219,150,78,29.4
2023-09-16T14:34:18.803000+00:00,9161,1010,33.5,0,1.2,1219,201,78,29.4
